Date_UBO_Test,Test_No,Hive_No,Hive_Size,Breeder_Line,Queen,Queen_Birth,Chalk_Date,Total_Brood,Brood_with_Chalk,White_Chalk,Spore_Dark_Chalk,Empty_Cells,Total_Cells,Cleared_Cells,Percentage_UBO,Over_40_percent,Pin_test_Results,Comments
18.1.23,52,52Y,10FDx2/10FMx1,L5,30L510 Cord,5.2.22,25.1.23,9,0,0,0,4,50,4,0,FALSE,,
18.1.23,53,50Y,10FDx2/10FMx1,L5 ,74L5cord,5.2.22,25.1.23,10,0,0,0,1,50,1,0,FALSE,,
23.1.23,58,66Y,4FDNuc,WA,69S8390,17.10.22,23.1.23,3,3,50,2,18,53,22,11.43,FALSE,,Requeened with resistant queen
23.1.23,59,112Y,10FDx2,W,671Womd,28.11.22,24.1.23,3,3,163,41,14,52,14,0,FALSE,,Added 2 brood and requeen 25.1.23
25.1.23,60,60Y,10FDX2/10Dx1,L5 ,LI5Cordd,29.11.22,25.1.23,6,0,0,0,1,50,4,6.12,FALSE,,
25.1.23,61,87Y,10FDx110Mx1/10FM,JH,64JH,5.2.22,25.1.23,10,3,4,0,6,49,6,0,FALSE,,
25.1.23,62,57Y,10FDx110Mx1/10FM,L5 ,30L510d,5.2.22,25.1.23,8,0,0,0,8,50,8,0,FALSE,,
25.1.23,63,37O,10FDx2/10FMx1,L5 ,25L5,20.2.22,25.1.23,9,0,0,0,2,51,3,2.04,FALSE,,
25.1.23,64,32O,10FDx2/10FMx1,W,98W,20.2.22,25.1.23,7,3,6,0,2,47,2,0,FALSE,,
25.1.23,65,YELLOW,5FDNuc,JH,9870JH,27.11.22,25.1.23,3,2,9,1,2,50,2,0,FALSE,,
1.2.23,66,5G,10FDx2/10FMx1,W,21W,10.3.21,1.2.23,8,0,0,0,1,52,2,1.96,FALSE,,
1.2.23,67,8G,10FDx2,L5,25L5cord,21.2.22,1.2.23,7,1,1,0,2,50,2,0,FALSE,,
1.2.23,68,16G,10FDx2,L5,L568Cord,27.2.21,1.2.23,7,1,1,0,7,51,8,2.27,FALSE,,
1.2.23,69,80Y,8FDx3,W,90Wd,22.1.21,1.2.23,10,0,0,0,8,48,8,0,FALSE,,
1.2.23,70,36Y,10FDx1&10FMx1/10FD,JH,23JH,10.4.22,1.2.23,11,8,50,12,5,48,6,2.33,FALSE,,Requeened 5.2.23
1.2.23,73,14L,4FDNuc,JBM,75JBM,1.11.22,1.2.23,3,0,0,0,7,48,14,17.07,FALSE,,
13.2.23,74,28Y,10Fx1,L2,3040L2,11.12.22,13.2.23,7,5,9,1,1,50,1,0,FALSE,,
13.2.23,76,7,8FDx3,L5,1879L5d,,15.2.23,10,0,0,0,5,50,5,0,FALSE,,
13.2.23,77,130Y,"10F1/2,M",L5,26L5,15.12.21,15.2.23,12,4,13,0,7,50,7,0,FALSE,,Need feed & Brood in wsp & 1/2s
13.2.23,78,22,10FDx2,L5,68L5d,1.21,15.2.23,10,0,0,0,5,48,6,2.33,FALSE,,
13.2.23,79,56Y,8FDx2/8FMx2,JBM,JBMCord,20.2.22,15.2.23,7,0,0,0,2,50,2,0,FALSE,,
13.2.23,80,9G,10Fx1/10FD,JH,7769JHd,25.9.2,15.2.23,7,0,0,0,5,50,15,22.22,FALSE,,
13.2.23,81,3L,4FDNuc,JH,72570JH,13.12.22,15.2.23,3,2,5,0,14,50,18,11.11,FALSE,,1 honey good stores 
13.2.23,82,14R,4FDNuc,JBM,74JBM,1.11.22,15.2.23,3,0,0,0,13,52,13,0,FALSE,,
14.2.23,83,132Y,10FDx2,W,671W,15.8.21,17.2.23,8,0,0,0,7,50,7,0,FALSE,,
14.2.23,84,121Y,10FDx2/10FMx1,JH,59JH,12.9.21,17.2.23,6,0,0,0,3,50,10,14.89,FALSE,,
18.2.23,85,2YL,4FDNuc,L5 ,9974L5,14.11.22,18.2.23,4,0,0,0,6,52,6,0,FALSE,,
18.2.23,86,2YR,4FDNuc,L5,10074L5,14.11.22,18.2.23,4,1,2,0,15,52,20,13.51,FALSE,,
